iter	Passed	Remaining
399	39044	156176
400	39118	155987
401	39206	155852
402	39317	155805
403	39414	155705
404	39517	155632
405	39614	155529
406	39705	155406
407	39804	155316
408	39888	155164
409	39981	155051
410	40076	154944
411	40175	154851
412	40269	154739
413	40374	154671
414	40477	154594
415	40577	154506
416	40682	154437
417	40788	154372
418	40888	154282
419	40977	154152
420	41069	154035
421	41161	153918
422	41252	153793
423	41373	153785
424	41462	153655
425	41565	153577
426	41662	153477
427	41764	153396
428	41857	153283
429	41944	153144
430	42056	153101
431	42148	152981
432	42263	152949
433	42352	152821
434	42438	152679
435	42529	152560
436	42605	152385
437	42692	152251
438	42790	152153
439	42888	152058
440	42981	151947
441	43074	151834
442	43180	151766
443	43264	151622
444	43402	151666
445	43553	151754
446	43721	151899
447	43822	151814
448	43905	151664
449	44044	151708
450	44145	151621
451	44228	151473
452	44353	151466
453	44418	151257
454	44490	151070
455	44571	150919
456	44634	150703
457	44718	150558
458	44776	150329
459	44833	150095
460	44902	149902
461	44959	149669
462	45018	149446
463	45059	149161
464	45114	148925
465	45175	148709
466	45246	148528
467	45319	148354
468	45390	148172
469	45461	147993
470	45535	147821
471	45606	147640
472	45678	147464
473	45743	147267
474	45820	147108
475	45875	146879
476	45956	146734
477	46029	146563
478	46120	146448
479	46199	146297
480	46277	146144
481	46341	145947
482	46406	145751
483	46485	145604
484	46574	145484
485	46647	145316
486	46738	145204
487	46829	145093
488	46913	144961
489	46982	144783
490	47060	144632
491	47125	144443
492	47211	144314
493	47316	144249
494	47422	144183
495	47533	144135
496	47644	144083
497	47748	144013
498	47852	143941
499	47959	143877
500	48070	143828
501	48181	143776
502	48275	143676
503	48369	143571
504	48457	143453
505	48559	143376
506	48673	143331
507	48776	143257
508	48882	143190
509	48992	143133
510	49101	143077
511	49213	143025
512	49322	142967
513	49436	142922
514	49541	142852
515	49647	142785
516	49740	142680
517	49836	142581
518	49933	142488
519	50021	142367
520	50134	142320
521	50238	142245
522	50351	142198
523	50450	142107
524	50553	142032
525	50672	141997
526	50779	141932
527	50886	141864
528	50991	141792
529	51104	141742
530	51211	141674
531	51319	141611
532	51433	141562
533	51547	141514
534	51663	141471
535	51765	141390
536	51883	141352
537	51990	141283
538	52104	141233
539	52210	141161
540	52306	141063
541	52408	140980
542	52523	140933
543	52618	140832
544	52715	140737
545	52821	140663
546	52919	140569
547	53030	140512
548	53112	140374
549	53192	140234
550	53271	140091
551	53368	139996
552	53480	139939
553	53567	139816
554	53667	139728
555	53752	139601
556	53850	139509
557	53944	139406
558	54040	139307
559	54138	139213
560	54243	139138
561	54338	139036
562	54452	138983
563	54546	138881
564	54636	138766
565	54721	138641
566	54805	138512
567	54890	138386
568	54969	138244
569	55059	138131
570	55163	138053
571	55263	137965
572	55358	137864
573	55458	137775
574	55562	137697
575	55658	137600
576	55760	137517
577	55864	137438
578	55968	137358
579	56063	137258
580	56167	137180
581	56278	137117
582	56372	137015
583	56479	136944
584	56588	136876
585	56682	136773
586	56780	136679
587	56880	136589
588	56992	136530
589	57089	136433
590	57188	136343
591	57283	136241
592	57396	136183
593	57496	136093
594	57614	136048
595	57720	135972
596	57819	135881
597	57913	135777
598	58014	135690
599	58123	135620
600	58231	135551
601	58365	135539
602	58470	135462
603	58564	135356
604	58666	135271
605	58787	135230
606	58869	135098
607	58958	134982
608	59047	134867
609	59119	134715
610	59207	134597
611	59296	134481
612	59392	134384
613	59482	134271
614	59575	134165
615	59665	134053
616	59752	133933
617	59840	133817
618	59924	133691
619	60019	133592
620	60130	133526
621	60238	133455
622	60349	133389
623	60475	133356
624	60588	133295
625	60689	133207
626	60795	133129
627	60899	133047
628	60996	132950
629	61102	132872
630	61201	132780
631	61306	132701
632	61415	132630
633	61512	132533
634	61583	132380
635	61656	132232
636	61738	132102
637	61823	131981
638	61911	131864
639	62009	131769
640	62113	131688
641	62221	131615
642	62331	131545
643	62439	131471
644	62535	131373
645	62646	131305
646	62734	131190
647	62842	131114
648	62917	130973
649	62995	130837
650	63078	130711
651	63178	130621
652	63280	130535
653	63390	130464
654	63491	130376
655	63593	130289
656	63683	130178
657	63766	130053
658	63855	129939
659	63961	129860
660	64065	129778
661	64172	129701
662	64285	129638
663	64408	129592
664	64512	129510
665	64613	129420
666	64699	129301
667	64770	129153
668	64831	128984
669	64929	128889
670	65023	128786
671	65119	128689
672	65220	128599
673	65334	128536
674	65426	128429
675	65509	128305
676	65575	128147
677	65639	127986
678	65724	127867
679	65807	127744
680	65905	127650
681	66006	127561
682	66103	127464
683	66209	127386
684	66354	127381
685	66500	127378
686	66632	127349
687	66759	127308
688	66917	127327
689	67071	127338
690	67190	127282
691	67303	127214
692	67401	127119
693	67506	127037
694	67603	126939
695	67722	126882
696	67813	126774
697	67915	126685
698	68019	126599
699	68121	126511
700	68204	126387
701	68289	126267
702	68374	126147
703	68473	126053
704	68580	125974
705	68676	125873
706	68777	125783
707	68863	125666
708	68960	125568
709	69064	125484
710	69196	125449
711	69330	125418
712	69479	125413
713	69584	125330
714	69677	125225
715	69758	125097
716	69867	125021
717	69956	124908
718	70050	124804
719	70144	124701
720	70231	124585
721	70326	124483
722	70424	124386
723	70524	124294
724	70612	124180
725	70713	124090
726	70801	123974
727	70895	123871
728	70990	123770
729	71073	123648
730	71165	123541
731	71267	123451
732	71358	123344
733	71456	123247
734	71544	123135
735	71630	123017
736	71727	122920
737	71811	122799
738	71899	122685
739	71981	122563
740	72109	122518
741	72266	122522
742	72394	122475
743	72531	122445
744	72647	122380
745	72796	122367
746	72942	122351
747	73019	122219
748	73103	122098
749	73208	122014
750	73323	121944
751	73425	121855
752	73552	121805
753	73703	121795
754	73870	121813
755	73983	121739
756	74078	121636
757	74159	121511
758	74253	121408
759	74344	121298
760	74425	121173
761	74515	121062
762	74608	120957
763	74698	120847
764	74789	120738
765	74879	120627
766	74983	120539
767	75102	120477
768	75228	120424
769	75367	120392
770	75502	120353
771	75642	120323
772	75780	120288
773	75915	120248
774	76013	120150
775	76105	120043
776	76207	119950
777	76309	119858
778	76393	119739
779	76516	119679
780	76633	119610
781	76744	119532
782	76848	119444
783	76946	119345
784	77039	119238
785	77143	119150
786	77237	119045
787	77338	118952
788	77440	118860
789	77536	118757
790	77635	118661
791	77731	118560
792	77821	118449
